row_id,occurred_at,channel,sku,qty,unit_amount_jpy,status,note
ROW-W37-001,2026-09-07T09:12:00+09:00,store,NB-A5,2,480,fulfilled,合成・店頭
ROW-W37-002,2026-09-07T11:40:00+09:00,web,PEN-BK,3,120,fulfilled,合成・Web
ROW-W37-003,2026-09-07T14:05:00+09:00,store,CLIP-20,1,200,fulfilled,合成・店頭
ROW-W37-004,2026-09-08T10:22:00+09:00,phone,NB-A5,1,480,fulfilled,合成・電話
ROW-W37-005,2026-09-08T16:10:00+09:00,web,NB-A5,4,480,fulfilled,合成・Web
ROW-W37-006,2026-09-09T09:00:00+09:00,store,PEN-BK,5,120,fulfilled,合成・店頭
ROW-W37-007,2026-09-09T13:33:00+09:00,wholesale,CLIP-20,10,180,fulfilled,合成・卸単価
ROW-W37-008,2026-09-10T08:50:00+09:00,web,PEN-BK,2,120,fulfilled,合成・Web
ROW-W37-009,2026-09-10T12:15:00+09:00,store,NB-A5,1,480,fulfilled,合成・店頭
ROW-W37-010,2026-09-11T15:40:00+09:00,phone,CLIP-20,2,200,fulfilled,合成・電話
ROW-W37-011,2026-09-12T10:05:00+09:00,web,NB-A5,2,480,fulfilled,合成・Web
ROW-W37-012,2026-09-13T17:20:00+09:00,store,PEN-BK,1,120,fulfilled,合成・店頭
ROW-W37-013,2026-09-13T18:00:00+09:00,web,CLIP-20,3,200,fulfilled,合成・Web
ROW-W37-014,2026-09-08T11:00:00+09:00,store,NB-A5,0,480,fulfilled,合成・数量0
ROW-W37-015,2026-09-08T19:00:00+09:00,web,NB-A5,1,480,cancelled,合成・キャンセル
ROW-W37-016,2026-09-11T09:30:00+09:00,phone,PEN-BK,2,120,cancelled,合成・キャンセル
ROW-W37-017,2026-09-09T18:45:00+09:00,wholesale,NB-A5,20,400,hold,合成・確認待ち
ROW-W37-018,2026-09-12T14:10:00+09:00,store,CLIP-20,1,200,hold,合成・確認待ち
ROW-W37-019,2026-09-06T16:00:00+09:00,store,PEN-BK,1,120,fulfilled,合成・週前
ROW-W37-020,2026-09-14T09:10:00+09:00,web,NB-A5,1,480,fulfilled,合成・週後
ROW-W37-021,2026-09-10T11:00:00+09:00,store,,1,480,fulfilled,合成・SKU欠落
ROW-W37-022,2026-09-10T11:05:00+09:00,store,NB-A5,-1,480,fulfilled,合成・負数
ROW-W37-023,2026-09-10T11:10:00+09:00,mystery,NB-A5,1,480,fulfilled,合成・不明チャネル
ROW-W37-024,2026-09-10T11:15:00+09:00,store,NB-A5,1,480,exploded,合成・不明ステータス
ROW-W37-DUP,2026-09-10T12:00:00+09:00,store,NB-A5,9,480,fulfilled,合成・ID衝突A
ROW-W37-DUP,2026-09-10T12:01:00+09:00,store,NB-A5,1,480,fulfilled,合成・ID衝突B
ROW-W37-025,2026-09-09T10:00:00+09:00,web,PEN-BK,2,abc,fulfilled,合成・金額不正
ROW-W37-026,,store,CLIP-20,1,200,fulfilled,合成・日時欠落
ROW-W37-027,2026-09-11T10:00:00+09:00,store,NB-A5,1,480,fulfilled,合成・店頭
