line_id,row_id,source_line,evidence_link,predicate
L01,ROW-W37-001,2,../fixtures/inbound-ops-synthetic-w37.csv#L2,bucket==fulfilled
L01,ROW-W37-002,3,../fixtures/inbound-ops-synthetic-w37.csv#L3,bucket==fulfilled
L01,ROW-W37-003,4,../fixtures/inbound-ops-synthetic-w37.csv#L4,bucket==fulfilled
L01,ROW-W37-004,5,../fixtures/inbound-ops-synthetic-w37.csv#L5,bucket==fulfilled
L01,ROW-W37-005,6,../fixtures/inbound-ops-synthetic-w37.csv#L6,bucket==fulfilled
L01,ROW-W37-006,7,../fixtures/inbound-ops-synthetic-w37.csv#L7,bucket==fulfilled
L01,ROW-W37-007,8,../fixtures/inbound-ops-synthetic-w37.csv#L8,bucket==fulfilled
L01,ROW-W37-008,9,../fixtures/inbound-ops-synthetic-w37.csv#L9,bucket==fulfilled
L01,ROW-W37-009,10,../fixtures/inbound-ops-synthetic-w37.csv#L10,bucket==fulfilled
L01,ROW-W37-010,11,../fixtures/inbound-ops-synthetic-w37.csv#L11,bucket==fulfilled
L01,ROW-W37-011,12,../fixtures/inbound-ops-synthetic-w37.csv#L12,bucket==fulfilled
L01,ROW-W37-012,13,../fixtures/inbound-ops-synthetic-w37.csv#L13,bucket==fulfilled
L01,ROW-W37-013,14,../fixtures/inbound-ops-synthetic-w37.csv#L14,bucket==fulfilled
L01,ROW-W37-027,30,../fixtures/inbound-ops-synthetic-w37.csv#L30,bucket==fulfilled
L02,ROW-W37-001,2,../fixtures/inbound-ops-synthetic-w37.csv#L2,bucket==fulfilled
L02,ROW-W37-002,3,../fixtures/inbound-ops-synthetic-w37.csv#L3,bucket==fulfilled
L02,ROW-W37-003,4,../fixtures/inbound-ops-synthetic-w37.csv#L4,bucket==fulfilled
L02,ROW-W37-004,5,../fixtures/inbound-ops-synthetic-w37.csv#L5,bucket==fulfilled
L02,ROW-W37-005,6,../fixtures/inbound-ops-synthetic-w37.csv#L6,bucket==fulfilled
L02,ROW-W37-006,7,../fixtures/inbound-ops-synthetic-w37.csv#L7,bucket==fulfilled
L02,ROW-W37-007,8,../fixtures/inbound-ops-synthetic-w37.csv#L8,bucket==fulfilled
L02,ROW-W37-008,9,../fixtures/inbound-ops-synthetic-w37.csv#L9,bucket==fulfilled
L02,ROW-W37-009,10,../fixtures/inbound-ops-synthetic-w37.csv#L10,bucket==fulfilled
L02,ROW-W37-010,11,../fixtures/inbound-ops-synthetic-w37.csv#L11,bucket==fulfilled
L02,ROW-W37-011,12,../fixtures/inbound-ops-synthetic-w37.csv#L12,bucket==fulfilled
L02,ROW-W37-012,13,../fixtures/inbound-ops-synthetic-w37.csv#L13,bucket==fulfilled
L02,ROW-W37-013,14,../fixtures/inbound-ops-synthetic-w37.csv#L14,bucket==fulfilled
L02,ROW-W37-027,30,../fixtures/inbound-ops-synthetic-w37.csv#L30,bucket==fulfilled
L03,ROW-W37-001,2,../fixtures/inbound-ops-synthetic-w37.csv#L2,bucket==fulfilled
L03,ROW-W37-002,3,../fixtures/inbound-ops-synthetic-w37.csv#L3,bucket==fulfilled
L03,ROW-W37-003,4,../fixtures/inbound-ops-synthetic-w37.csv#L4,bucket==fulfilled
