line_id,section,label,predicate,row_count,qty,synthetic_jpy,row_ids,source_lines,evidence_links
L01,totals,確定件数（fulfilled）,bucket==fulfilled,14,38,9600,ROW-W37-001|ROW-W37-002|ROW-W37-003|ROW-W37-004|ROW-W37-005|ROW-W37-006|ROW-W37-007|ROW-W37-008|ROW-W37-009|ROW-W37-010|ROW-W37-011|ROW-W37-012|ROW-W37-013|ROW-W37-027,2|3|4|5|6|7|8|9|10|11|12|13|14|30,../fixtures/inbound-ops-synthetic-w37.csv#L2|../fixtures/inbound-ops-synthetic-w37.csv#L3|../fixtures/inbound-ops-synthetic-w37.csv#L4|../fixtures/inbound-ops-synthetic-w37.csv#L5|../fixtures/inbound-ops-synthetic-w37.csv#L6|../fixtures/inbound-ops-synthetic-w37.csv#L7|../fixtures/inbound-ops-synthetic-w37.csv#L8|../fixtures/inbound-ops-synthetic-w37.csv#L9|../fixtures/inbound-ops-synthetic-w37.csv#L10|../fixtures/inbound-ops-synthetic-w37.csv#L11|../fixtures/inbound-ops-synthetic-w37.csv#L12|../fixtures/inbound-ops-synthetic-w37.csv#L13|../fixtures/inbound-ops-synthetic-w37.csv#L14|../fixtures/inbound-ops-synthetic-w37.csv#L30
L02,totals,確定数量合計,bucket==fulfilled,14,38,9600,ROW-W37-001|ROW-W37-002|ROW-W37-003|ROW-W37-004|ROW-W37-005|ROW-W37-006|ROW-W37-007|ROW-W37-008|ROW-W37-009|ROW-W37-010|ROW-W37-011|ROW-W37-012|ROW-W37-013|ROW-W37-027,2|3|4|5|6|7|8|9|10|11|12|13|14|30,../fixtures/inbound-ops-synthetic-w37.csv#L2|../fixtures/inbound-ops-synthetic-w37.csv#L3|../fixtures/inbound-ops-synthetic-w37.csv#L4|../fixtures/inbound-ops-synthetic-w37.csv#L5|../fixtures/inbound-ops-synthetic-w37.csv#L6|../fixtures/inbound-ops-synthetic-w37.csv#L7|../fixtures/inbound-ops-synthetic-w37.csv#L8|../fixtures/inbound-ops-synthetic-w37.csv#L9|../fixtures/inbound-ops-synthetic-w37.csv#L10|../fixtures/inbound-ops-synthetic-w37.csv#L11|../fixtures/inbound-ops-synthetic-w37.csv#L12|../fixtures/inbound-ops-synthetic-w37.csv#L13|../fixtures/inbound-ops-synthetic-w37.csv#L14|../fixtures/inbound-ops-synthetic-w37.csv#L30
L03,totals,確定・合成金額(円),bucket==fulfilled,14,38,9600,ROW-W37-001|ROW-W37-002|ROW-W37-003|ROW-W37-004|ROW-W37-005|ROW-W37-006|ROW-W37-007|ROW-W37-008|ROW-W37-009|ROW-W37-010|ROW-W37-011|ROW-W37-012|ROW-W37-013|ROW-W37-027,2|3|4|5|6|7|8|9|10|11|12|13|14|30,../fixtures/inbound-ops-synthetic-w37.csv#L2|../fixtures/inbound-ops-synthetic-w37.csv#L3|../fixtures/inbound-ops-synthetic-w37.csv#L4|../fixtures/inbound-ops-synthetic-w37.csv#L5|../fixtures/inbound-ops-synthetic-w37.csv#L6|../fixtures/inbound-ops-synthetic-w37.csv#L7|../fixtures/inbound-ops-synthetic-w37.csv#L8|../fixtures/inbound-ops-synthetic-w37.csv#L9|../fixtures/inbound-ops-synthetic-w37.csv#L10|../fixtures/inbound-ops-synthetic-w37.csv#L11|../fixtures/inbound-ops-synthetic-w37.csv#L12|../fixtures/inbound-ops-synthetic-w37.csv#L13|../fixtures/inbound-ops-synthetic-w37.csv#L14|../fixtures/inbound-ops-synthetic-w37.csv#L30
L04,channel,チャネル 店頭（store）,bucket==fulfilled AND channel==store,6,11,2840,ROW-W37-001|ROW-W37-003|ROW-W37-006|ROW-W37-009|ROW-W37-012|ROW-W37-027,2|4|7|10|13|30,../fixtures/inbound-ops-synthetic-w37.csv#L2|../fixtures/inbound-ops-synthetic-w37.csv#L4|../fixtures/inbound-ops-synthetic-w37.csv#L7|../fixtures/inbound-ops-synthetic-w37.csv#L10|../fixtures/inbound-ops-synthetic-w37.csv#L13|../fixtures/inbound-ops-synthetic-w37.csv#L30
L05,channel,チャネル Web（web）,bucket==fulfilled AND channel==web,5,14,4080,ROW-W37-002|ROW-W37-005|ROW-W37-008|ROW-W37-011|ROW-W37-013,3|6|9|12|14,../fixtures/inbound-ops-synthetic-w37.csv#L3|../fixtures/inbound-ops-synthetic-w37.csv#L6|../fixtures/inbound-ops-synthetic-w37.csv#L9|../fixtures/inbound-ops-synthetic-w37.csv#L12|../fixtures/inbound-ops-synthetic-w37.csv#L14
L06,channel,チャネル 電話（phone）,bucket==fulfilled AND channel==phone,2,3,880,ROW-W37-004|ROW-W37-010,5|11,../fixtures/inbound-ops-synthetic-w37.csv#L5|../fixtures/inbound-ops-synthetic-w37.csv#L11
L07,channel,チャネル 卸（wholesale）,bucket==fulfilled AND channel==wholesale,1,10,1800,ROW-W37-007,8,../fixtures/inbound-ops-synthetic-w37.csv#L8
L08,sku,SKU NB-A5 / A5ノート,bucket==fulfilled AND sku==NB-A5,6,11,5280,ROW-W37-001|ROW-W37-004|ROW-W37-005|ROW-W37-009|ROW-W37-011|ROW-W37-027,2|5|6|10|12|30,../fixtures/inbound-ops-synthetic-w37.csv#L2|../fixtures/inbound-ops-synthetic-w37.csv#L5|../fixtures/inbound-ops-synthetic-w37.csv#L6|../fixtures/inbound-ops-synthetic-w37.csv#L10|../fixtures/inbound-ops-synthetic-w37.csv#L12|../fixtures/inbound-ops-synthetic-w37.csv#L30
L09,sku,SKU PEN-BK / 黒ボールペン,bucket==fulfilled AND sku==PEN-BK,4,11,1320,ROW-W37-002|ROW-W37-006|ROW-W37-008|ROW-W37-012,3|7|9|13,../fixtures/inbound-ops-synthetic-w37.csv#L3|../fixtures/inbound-ops-synthetic-w37.csv#L7|../fixtures/inbound-ops-synthetic-w37.csv#L9|../fixtures/inbound-ops-synthetic-w37.csv#L13
L10,sku,SKU CLIP-20 / ダブルクリップ（20個入）,bucket==fulfilled AND sku==CLIP-20,4,16,3000,ROW-W37-003|ROW-W37-007|ROW-W37-010|ROW-W37-013,4|8|11|14,../fixtures/inbound-ops-synthetic-w37.csv#L4|../fixtures/inbound-ops-synthetic-w37.csv#L8|../fixtures/inbound-ops-synthetic-w37.csv#L11|../fixtures/inbound-ops-synthetic-w37.csv#L14
